V1,name,rank,seed,V1,name,rank,seed,V1,name,rank,seed,V1,name,rank,seed
0.011182977779160896,erbb signaling pathway,1,1,0.011179684783721304,erbb signaling pathway,1,2,0.011181646851747138,erbb signaling pathway,1,3,0.011198658675522957,erbb signaling pathway,1,4
0.010365548891265385,proteoglycans in cancer,2,1,0.010375563584595071,proteoglycans in cancer,2,2,0.01037741127898731,proteoglycans in cancer,2,3,0.010383312445029635,proteoglycans in cancer,2,4
0.010160116199416586,regulation of actin cytoskeleton,3,1,0.010160788047277108,regulation of actin cytoskeleton,3,2,0.010162463481628902,regulation of actin cytoskeleton,3,3,0.010168074817404423,regulation of actin cytoskeleton,3,4
0.009763628741608663,breast cancer,4,1,0.009764882901464973,breast cancer,4,2,0.00976660175807777,breast cancer,4,3,0.009784442187167617,breast cancer,4,4
0.009763628741608663,gastric cancer,5,1,0.009764882901464973,gastric cancer,5,2,0.00976660175807777,gastric cancer,5,3,0.009784442187167617,gastric cancer,5,4
0.009727022963973847,rap1 signaling pathway,6,1,0.009734137750833234,rap1 signaling pathway,6,2,0.009735756051737893,rap1 signaling pathway,6,3,0.009741567001218933,rap1 signaling pathway,6,4
0.009646663877706314,hepatitis b,7,1,0.009657237896644185,hepatitis b,7,2,0.009658844851959014,hepatitis b,7,3,0.009664646987500818,hepatitis b,7,4
0.009476184891822113,endometrial cancer,8,1,0.009486265146767614,endometrial cancer,8,2,0.009487937671129185,endometrial cancer,8,3,0.00949445141849364,endometrial cancer,8,4
0.009476184891822113,non-small cell lung cancer,9,1,0.009486265146767614,non-small cell lung cancer,9,2,0.009487937671129185,non-small cell lung cancer,9,3,0.00949445141849364,non-small cell lung cancer,9,4
0.009476184891822113,prostate cancer,10,1,0.009486265146767614,prostate cancer,10,2,0.009487937671129185,prostate cancer,10,3,0.00949445141849364,prostate cancer,10,4
0.009330367662062022,insulin signaling pathway,11,1,0.00932646931392523,insulin signaling pathway,11,2,0.009350076977328514,insulin signaling pathway,11,3,0.00933289539123125,insulin signaling pathway,11,4
0.009115116741144909,bladder cancer,12,1,0.009124482392470252,bladder cancer,12,2,0.009126187523752017,bladder cancer,12,3,0.00913248823773363,bladder cancer,12,4
